```json
{
    "matchup": "Israel vs Slovenia",
                },
                "Guy Palatin": {
                    "points": 14,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Yam Madar": {
                    "points": 4,
                    "assists": 1,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Khadeen Carrington": {
                    "points": 24,
                    "assists": 9,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Itay Segev": {
                    "points": 8,
                    "assists": 0,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 2
                }
            }
        },
        "Slovenia": {
            "stats": {
                "points": 196,
                "assists": 50,
                "rebounds": 39,
                "defensive_rebounds": 31,
                "offensive_rebounds": 8,
                "fouls": 17,
                "steals": 13,
                "blocks": 10,
                "turnovers": 24,
                "2pt_shots_made": 35,
                "2pt_shots_attempted": 50,
                "3pt_shots_made": 32,
                "3pt_shots_attempted": 42,
                "ft_made": 10,
                "ft_attempted": 19
            },
            "players": {
                "Alen Omic": {
                    "points": 26,
                    "assists": 7,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 11,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Klemen Prepelic": {
                    "points": 14,
                    "assists": 8,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 4,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Luka Scuka": {
                    "points": 14,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Robert Jurkovic": {
                    "points": 28,
                    "assists": 11,
                    "rebounds": 7,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 3,
                    "fouls": 4,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 6,
                    "2pt_shots_made": 10,
                    "2pt_shots_attempted": 10,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 2
                },
                "Gregor Hrovat": {
                    "points": 7,
                    "assists": 4,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Edo Muric": {
                    "points": 14,
                    "assists": 11,
                    "rebounds": 6,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 5,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Martin Krampelj": {
                    "points": 0,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Luka Doncic": {
                    "points": 33,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 9,
                    "3pt_shots_attempted": 10,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksej Nikolic": {
                    "points": 11,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Rok Radovic": {
                    "points": 5,
                    "assists": 0,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Leon Stergar": {
                    "points": 15,
                    "assists": 6,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 6
                },
                "Mark Padjen": {
                    "points": 5,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 3,
                    "ft_attempted": 3
                }
            }
        }
    }
}
```
